Kolom1,Kolom2,Kolom3,Kolom4
13:29:53,-91.378,0.0,0.0
13:29:53,-128.426,0.0,0.0
13:29:53,-118.047,0.0,0.0
13:29:53,-98.557,0.0,0.0
13:29:53,-140.863,0.0,0.0
13:29:53,-91.852,0.0,0.0
13:29:53,-129.442,0.0,0.0
13:29:53,-119.734,0.0,0.0
13:29:53,-100.624,0.0,0.0
13:29:53,-141.694,0.0,0.0
13:29:53,-89.192,0.0,0.0
13:29:53,-123.413,0.0,0.0
13:29:53,-115.869,0.0,0.0
13:29:53,-99.944,0.0,0.0
13:29:53,-143.059,0.0,0.0
13:29:53,-92.394,0.0,0.0
13:29:53,-128.893,0.0,0.0
13:29:53,-117.724,0.0,0.0
13:29:53,-98.592,0.0,0.0
13:29:53,-141.141,0.0,0.0
13:29:53,-92.104,0.0,0.0
13:29:53,-129.231,0.0,0.0
13:29:53,-118.548,0.0,0.0
13:29:53,-99.19,0.0,0.0
13:29:53,-141.126,0.0,0.0
13:29:53,-91.893,0.0,0.0
13:29:53,-128.896,0.0,0.0
13:29:53,-118.106,0.0,0.0
13:29:53,-98.572,0.0,0.0
13:29:53,-140.384,0.0,0.0
13:29:53,-91.57,0.0,0.0
13:29:53,-128.512,0.0,0.0
13:29:53,-117.737,0.0,0.0
13:29:53,-98.639,0.0,0.0
13:29:53,-140.921,0.0,0.0
13:29:53,-91.812,0.0,0.0
13:29:53,-129.046,0.0,0.0
13:29:53,-117.826,0.0,0.0
13:29:53,-98.336,0.0,0.0
13:29:53,-140.23,0.0,0.0
13:29:53,-90.971,0.0,0.0
13:29:53,-128.039,0.0,0.0
13:29:53,-117.254,0.0,0.0
13:29:53,-97.768,0.0,0.0
13:29:53,-139.747,0.0,0.0
13:29:53,-90.76,0.0,0.0
13:29:53,-127.931,0.0,0.0
13:29:53,-117.091,0.0,0.0
13:29:53,-98.052,0.0,0.0
13:29:53,-140.041,0.0,0.0
13:29:53,-91.121,0.0,0.0
13:29:53,-128.152,0.0,0.0
13:29:53,-117.393,0.0,0.0
13:29:53,-98.087,0.0,0.0
13:29:53,-139.871,0.0,0.0
13:29:53,-91.032,0.0,0.0
13:29:53,-128.069,0.0,0.0
13:29:53,-117.182,0.0,0.0
13:29:53,-98.071,0.0,0.0
13:29:53,-139.837,0.0,0.0
13:29:53,-90.977,0.0,0.0
13:29:53,-128.294,0.0,0.0
13:29:53,-116.903,0.0,0.0
13:29:53,-97.369,0.0,0.0
13:29:53,-139.465,0.0,0.0
13:29:53,-90.714,0.0,0.0
13:29:53,-126.472,0.0,0.0
13:29:53,-115.756,0.0,0.0
13:29:53,-97.194,0.0,0.0
13:29:53,-138.772,0.0,0.0
13:29:53,-91.092,0.0,0.0
13:29:53,-128.304,0.0,0.0
13:29:53,-117.605,0.0,0.0
13:29:53,-98.965,0.0,0.0
13:29:53,-140.431,0.0,0.0
13:29:53,-92.261,0.0,0.0
13:29:53,-129.13,0.0,0.0
13:29:53,-117.894,0.0,0.0
13:29:53,-99.448,0.0,0.0
13:29:53,-141.716,0.0,0.0
13:29:53,-93.019,0.0,0.0
13:29:53,-129.262,0.0,0.0
13:29:53,-114.787,0.0,0.0
13:29:53,-93.475,0.0,0.0
13:29:53,-137.098,0.0,0.0
13:29:53,-91.536,0.0,0.0
13:29:53,-130.781,0.0,0.0
13:29:53,-118.194,0.0,0.0
13:29:53,-98.494,0.0,0.0
13:29:53,-140.006,0.0,0.0
13:29:53,-90.846,0.0,0.0
13:29:53,-128.927,0.0,0.0
13:29:53,-117.047,0.0,0.0
13:29:53,-98.51,0.0,0.0
13:29:53,-140.367,0.0,0.0
13:29:53,-91.117,0.0,0.0
13:29:53,-128.607,0.0,0.0
13:29:53,-116.873,0.0,0.0
13:29:53,-98.374,0.0,0.0
13:29:53,-139.667,0.0,0.0
13:29:53,-90.49,0.0,0.0
13:29:53,-128.169,0.0,0.0
13:29:53,-116.426,0.0,0.0
13:29:53,-98.356,0.0,0.0
13:29:53,-139.957,0.0,0.0
13:29:53,-90.651,0.0,0.0
13:29:53,-128.864,0.0,0.0
13:29:53,-116.625,0.0,0.0
13:29:53,-98.421,0.0,0.0
13:29:53,-140.008,0.0,0.0
13:29:53,-90.736,0.0,0.0
13:29:53,-128.645,0.0,0.0
13:29:53,-116.636,0.0,0.0
13:29:53,-98.156,0.0,0.0
13:29:53,-139.383,0.0,0.0
